#Sample	Metric	Value
S10	Weighted NSTI	0.217046748302
S11	Weighted NSTI	0.173439158122
S12	Weighted NSTI	0.218286089879
S13	Weighted NSTI	0.194118047413
S14	Weighted NSTI	0.183197703619
S15	Weighted NSTI	0.176025762927
S16	Weighted NSTI	0.206077549522
S17	Weighted NSTI	0.19758564984
S18	Weighted NSTI	0.183606062789
S19	Weighted NSTI	0.18199154019
S1	Weighted NSTI	0.176168839014
S20	Weighted NSTI	0.180072055145
S21	Weighted NSTI	0.216271798557
S22	Weighted NSTI	0.210706647943
S23	Weighted NSTI	0.220282587643
S24	Weighted NSTI	0.203439512944
S25	Weighted NSTI	0.177590018466
S26	Weighted NSTI	0.215867354258
S27	Weighted NSTI	0.228811152095
S28	Weighted NSTI	0.214366774032
S29	Weighted NSTI	0.199405172301
S2	Weighted NSTI	0.214231911362
S30	Weighted NSTI	0.20458039958
S31	Weighted NSTI	0.213004485175
S32	Weighted NSTI	0.219548422689
S33	Weighted NSTI	0.212685294937
S34	Weighted NSTI	0.199426823462
S35	Weighted NSTI	0.189633704256
S36	Weighted NSTI	0.243036203888
S37	Weighted NSTI	0.223668068659
S38	Weighted NSTI	0.226963596247
S39	Weighted NSTI	0.228983952652
S3	Weighted NSTI	0.20758622488
S40	Weighted NSTI	0.195830978499
S41	Weighted NSTI	0.235563258563
S42	Weighted NSTI	0.227160745153
S43	Weighted NSTI	0.229031639206
S44	Weighted NSTI	0.233006761395
S45	Weighted NSTI	0.227944278174
S46	Weighted NSTI	0.225587387667
S47	Weighted NSTI	0.226037805631
S48	Weighted NSTI	0.231469548958
S49	Weighted NSTI	0.226790587261
S4	Weighted NSTI	0.189693848713
S50	Weighted NSTI	0.225103957076
S51	Weighted NSTI	0.229858046314
S52	Weighted NSTI	0.233295022713
S53	Weighted NSTI	0.21378315481
S54	Weighted NSTI	0.212863225596
S55	Weighted NSTI	0.226430579773
S5	Weighted NSTI	0.177643380889
S6	Weighted NSTI	0.201976101941
S7	Weighted NSTI	0.211323951114
S8	Weighted NSTI	0.199472154835
S9	Weighted NSTI	0.218765345191
